iter	Passed	Remaining
0	9	2258
1	15	1966
2	23	1926
3	29	1819
4	37	1835
5	43	1780
6	50	1741
7	54	1655
8	60	1629
9	68	1636
10	75	1633
11	81	1613
12	88	1617
13	95	1602
14	102	1609
15	108	1584
16	115	1581
17	122	1581
18	127	1547
19	132	1523
20	139	1520
21	144	1498
22	152	1506
23	158	1496
24	166	1500
25	172	1487
26	179	1481
27	186	1479
28	192	1466
29	199	1464
30	205	1453
31	212	1447
32	218	1438
33	224	1427
34	233	1431
35	238	1420
36	246	1418
37	252	1406
38	260	1406
39	267	1402
40	274	1398
41	280	1390
42	287	1381
43	294	1381
44	301	1374
45	309	1374
46	316	1367
47	324	1364
48	331	1360
49	339	1359
50	346	1352
51	352	1342
52	359	1337
53	366	1331
54	374	1329
55	381	1321
56	388	1317
57	395	1309
58	402	1301
59	408	1294
60	415	1286
61	421	1278
62	428	1270
63	436	1269
64	443	1261
65	450	1254
66	457	1249
67	461	1236
68	470	1233
69	477	1228
70	484	1222
71	491	1215
72	499	1209
73	505	1202
74	511	1194
75	519	1188
76	525	1179
77	532	1174
78	539	1167
79	546	1162
80	553	1154
81	559	1145
82	566	1140
83	573	1132
84	580	1127
85	587	1120
86	595	1115
87	602	1108
88	608	1101
89	616	1096
90	622	1088
91	630	1082
92	637	1076
93	643	1067
94	649	1059
95	655	1051
96	662	1044
97	668	1036
98	675	1029
99	682	1023
100	688	1015
101	696	1009
102	703	1003
103	710	997
104	717	991
105	725	985
106	732	978
107	738	970
108	746	965
109	751	957
110	759	950
111	763	941
112	767	930
113	772	921
114	777	912
115	783	905
116	791	899
117	798	892
118	806	887
119	812	880
120	820	874
121	827	868
122	834	861
123	841	855
124	847	847
125	854	840
126	860	833
127	866	826
128	873	819
129	879	811
130	886	805
131	893	798
132	900	792
133	908	786
134	912	777
135	918	769
136	925	763
137	932	756
138	939	750
139	946	743
140	952	736
141	958	729
142	966	723
143	972	716
144	979	709
145	986	702
146	991	694
147	997	687
148	1004	681
149	1010	673
150	1018	667
151	1024	660
152	1032	654
153	1037	646
154	1044	639
155	1051	633
156	1057	626
157	1062	618
158	1069	611
159	1076	605
160	1082	598
161	1089	591
162	1097	585
163	1102	578
164	1108	571
165	1116	565
166	1123	558
167	1131	552
168	1136	544
169	1144	538
170	1150	531
171	1158	525
172	1165	518
173	1172	512
174	1180	505
175	1186	498
176	1194	492
177	1201	485
178	1208	479
179	1215	472
180	1223	466
181	1229	459
182	1235	452
183	1243	445
184	1249	438
185	1256	432
186	1262	425
187	1270	418
188	1276	412
189	1284	405
190	1291	398
191	1297	392
192	1305	385
193	1310	378
194	1318	371
195	1324	364
196	1331	358
197	1338	351
198	1344	344
199	1352	338
200	1358	331
201	1366	324
202	1372	317
203	1378	310
204	1385	304
205	1392	297
206	1399	290
207	1406	283
208	1414	277
209	1421	270
210	1426	263
211	1433	257
212	1438	249
213	1446	243
214	1453	236
215	1461	230
216	1466	222
217	1470	215
218	1477	209
219	1483	202
220	1487	195
221	1494	188
222	1500	181
223	1505	174
224	1511	167
225	1517	161
226	1525	154
227	1531	147
228	1538	141
229	1544	134
230	1549	127
231	1556	120
232	1563	114
233	1568	107
234	1574	100
235	1579	93
236	1584	86
237	1591	80
238	1597	73
239	1602	66
240	1605	59
241	1612	53
242	1617	46
243	1623	39
244	1629	33
245	1633	26
246	1638	19
247	1645	13
248	1650	6
249	1657	0
